Data transakcji,Miasto/Gmina,Obręb,Zbyte prawo,Pu lokalu [m2],Pow. przynależna [m2],Pom. przynależne,Cena 1m2 bez VAT [zł],Zakt.cena bez VAT [zł],Program użytkowy,Kondygnacja,Sprzedał,Kupił
2021-08-13,Gdynia, Grabówek,własność-własność,38.4,0.1,piwnica,8463.54,325000.0,ilość izb:2,1.0,osoba fizyczna,osoba fizyczna
2020-05-12,Gdańsk, Chełm,własność-własność,49.5,0.0,piwnica,8464.65,419000.0,"pokój:4,kuchnia:1,łazienka z wc:1",4.0,osoba fizyczna,osoba fizyczna
2020-09-01,Gdynia, Witomino Radiostacja,spółdzielcze wł. prawo,37.8,0.0,brak,8465.61,320000.0,pokój:999,1.0,osoba fizyczna,osoba fizyczna
2021-01-08,Gdynia, Mały Kack,własność-własność,39.81,0.0,brak,8466.14,337037.04,"pokój:1,pokój z aneksem kuchennym:1,łazienka:1,korytarz:1",3.0,deweloper,osoba fizyczna
2021-08-26,Gdynia, Dąbrowa,własność-własność,81.5,2.8,komórka lokatorska,8466.26,690000.0,"pokój:4,kuchnia:1,łazienka:1,wc:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2021-04-20,Gdańsk, Chełm,własność-własność,49.6,0.0,piwnica,8467.74,420000.0,"pokój:2,kuchnia:1,łazienka:1,wc:1,przedpokój:1",5.0,osoba fizyczna,osoba fizyczna
2020-08-04,Gdynia, Witomino Radiostacja,spółdzielcze wł. prawo,35.3,0.0,brak,8470.25,299000.0,pokój:999,4.0,osoba fizyczna,osoba fizyczna
2020-11-04,Gdańsk, Piecki Migowo,własność-własność,74.95,2.91,komórka lokatorska,8470.67,634877.0,"pokój:2,pokój z aneksem kuchennym:1,łazienka:1,wc:1,przedpokój:1",1.0,deweloper,osoba fizyczna
2020-08-25,Gdańsk, Przymorze Małe,własność-własność,66.64,0.0,brak,8470.89,564500.0,"pokój:2,pokój z aneksem kuchennym:1,łazienka z wc:1,wc:1,przedpokój:1",4.0,deweloper,osoba fizyczna
2021-03-11,Gdańsk, Osowa,własność-własność,50.76,0.0,brak,8471.24,430000.0,"pokój:2,pokój z aneksem kuchennym:1,łazienka:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2020-05-19,Gdańsk, Przymorze Wielkie,spółdzielcze wł. prawo,59.0,1.0,nie podano,8474.58,500000.0,pokój:3,2.0,osoba fizyczna,osoba fizyczna
2020-12-09,Gdańsk, Łostowice,własność-własność,43.66,0.0,brak,8474.58,370000.0,"pokój:1,pokój z aneksem kuchennym:1,łazienka:1,przedpokój:1",3.0,osoba fizyczna,osoba fizyczna
2021-07-13,Gdańsk, Żabianka,spółdzielcze wł. prawo,59.0,1.0,brak,8474.58,500000.0,"pokój:3,kuchnia:1,łazienka z wc:1",1.0,osoba fizyczna,osoba fizyczna
2021-07-20,Gdynia, Leszczynki,własność-własność,37.64,0.1,nie podano,8475.03,319000.0,ilość izb:3,1.0,osoba fizyczna,osoba fizyczna
2020-10-08,Gdańsk, Piecki Migowo,własność-własność,67.69,8.8,komórka lokatorska,8476.46,573771.53,"pokój:2,pokój z aneksem kuchennym:1,łazienka z wc:1,przedpokój:1",1.0,deweloper,osoba fizyczna
2020-05-04,Gdańsk, Wrzeszcz,własność-własność,41.88,0.0,nie podano,8476.6,355000.0,"pokój:1,łazienka:1,przedpokój:1",4.0,"przeds., spółka, firma",osoba fizyczna
2020-11-30,Gdańsk, Długie Ogrody,własność-własność,65.69,0.0,brak,8477.38,556879.18,"pokój:2,pokój z aneksem kuchennym:1,łazienka z wc:2,przedpokój:1",4.0,deweloper,osoba fizyczna
2021-04-30,Gdynia, Wzgórze Św. Maksymiliana,własność-własność,75.2,0.1,"PIWNICA, strych",8477.39,637500.0,"pokój:3,kuchnia:1,łazienka:1,przedpokój:1,spiżarka:1",2.0,osoba fizyczna,osoba fizyczna
2020-05-19,Gdańsk, Oliwa,własność-własność,46.0,5.1,piwnica,8478.26,390000.0,"pokój:2,kuchnia:1,łazienka z wc:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2020-11-26,Gdańsk, Przymorze Wielkie,spółdzielcze wł. prawo,46.0,0.0,brak,8478.26,390000.0,pokój:0,9.0,osoba fizyczna,osoba fizyczna
2020-09-17,Gdańsk, Brzeźno,spółdzielcze wł. prawo,42.46,1.0,brak,8478.57,360000.0,"pokój:2,kuchnia:1,łazienka z wc:1",5.0,osoba fizyczna,osoba fizyczna
2020-11-18,Gdynia, Grabówek,własność-własność,41.28,2.52,piwnica,8478.68,350000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",4.0,osoba fizyczna,osoba fizyczna
2021-07-20,Gdynia, Cisowa,spółdzielcze wł. prawo,46.23,1.7,"brak, PIWNICA",8479.34,392000.0,ilość izb:4,4.0,osoba fizyczna,osoba fizyczna
2020-09-07,Gdańsk, Maćkowy,własność-własność,62.97,3.43,komórka lokatorska,8480.23,534000.0,"pokój:2,pokój z aneksem kuchennym:1,łazienka z wc:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2021-07-16,Gdynia, Śródmieście z Portem,własność-własność,95.51,19.0,nie podano,8480.79,810000.0,ilość izb:5,1.0,osoba fizyczna,"przeds., spółka, firma"
2021-03-12,Gdynia, Pogórze,własność-własność,32.19,0.0,brak,8480.89,273000.0,ilość izb:2,2.0,osoba fizyczna,osoba fizyczna
