Data transakcji,Miasto/Gmina,Obręb,Zbyte prawo,Pu lokalu [m2],Pow. przynależna [m2],Pom. przynależne,Cena 1m2 bez VAT [zł],Zakt.cena bez VAT [zł],Program użytkowy,Kondygnacja,Sprzedał,Kupił
2021-05-31,Gdańsk, Klukowo,własność-własność,3539.0,3.6,komórka lokatorska,80.48,284818.41,"pokój:1,pokój z aneksem kuchennym:1,łazienka z wc:1,korytarz:1",2.0,deweloper,osoba fizyczna
2021-05-07,Gdańsk, Przymorze Wielkie,własność-własność,70.10000000000001,3.8,komórka lokatorska,356.63,25000.0,"pokój:2,pokój z aneksem kuchennym:1,łazienka:1,wc:1,korytarz:1",4.0,spółka prawa handlowego,spółka prawa handlowego
2020-10-29,Gdańsk, Szadółki,własność-własność,40.0,4.15,komórka lokatorska,773.46,30938.5,"pokój:1,pokój z aneksem kuchennym:1,łazienka z wc:1,przedpokój:1",1.0,deweloper,osoba fizyczna
2020-09-23,Gdańsk, Oliwa,spółdzielcze wł. prawo,28.4,999.0,brak,845.07,24000.0,"pokój:1,kuchnia:1,łazienka z wc:1",6.0,osoba fizyczna,osoba fizyczna
2020-06-08,Sopot, Sopot,własność-własność,86.0,5.9,komórka lokatorska,854.65,73500.0,"pokój:3,kuchnia:1,wc:1,przedpokój:1,weranda:1,pomieszczenie gospodarcze:1",2.0,osoba fizyczna,osoba fizyczna
2021-06-23,Gdańsk, Przymorze Wielkie,własność-własność,46.0,0.0,brak,869.57,40000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",11.0,osoba fizyczna,osoba fizyczna
2021-07-22,Gdynia, Redłowo,własność-własność,56.27,4.08,komórka lokatorska,977.43,55000.0,"pokój:2,pokój z aneksem kuchennym:1,łazienka:1,przedpokój:1",6.0,osoba fizyczna,osoba fizyczna
2021-05-05,Gdynia, Oksywie,własność-własność,80.80000000000001,5.1,piwnica,990.1,80000.0,"pokój:4,kuchnia:1,łazienka:1,wc:1",3.0,osoba fizyczna,osoba fizyczna
2021-06-15,Gdynia, Śródmieście z Portem,własność-własność,35.7,0.0,nie podano,1170.25,41778.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",1.0,Skarb Państwa,osoba fizyczna
2021-04-15,Gdańsk, Strzyża,własność-własność,87.91,0.0,nie podano,1330.91,117000.0,"pokój:3,pokój z aneksem kuchennym:1,łazienka:2,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2020-09-18,Gdańsk, Strzyża,własność-własność,85.65,4.79,garaż,1366.02,117000.0,"pokój:2,pokój z aneksem kuchennym:1,łazienka:1,wc:1,przedpokój:1",5.0,osoba fizyczna,osoba fizyczna
2020-07-02,Gdańsk, Strzyża,własność-własność,33.19,0.0,nie podano,1506.48,50000.0,"pokój:1,kuchnia:1,łazienka:1,przedpokój:1",4.0,osoba fizyczna,osoba fizyczna
2020-11-18,Gdańsk, Aniołki,własność-własność,37.400000000000006,8.8,piwnica,2125.28,79485.6,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",1.0,osoba fizyczna,"przeds., spółka, firma"
2020-06-03,Gdynia, Pustki Cisowskie - Demptowo,własność-własność,46.41,25.950000000000003,komórka lokatorska,2154.71,100000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2021-03-30,Gdańsk, Wrzeszcz,własność-własność,74.1,0.0,brak,2159.24,160000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1,spiżarka:1",3.0,osoba fizyczna,osoba fizyczna
2021-02-08,Gdańsk, Nowy Port,własność-własność,40.1,0.0,brak,2244.39,90000.0,"pokój:2,kuchnia:1,wc:1,przedpokój:1",3.0,osoba fizyczna,osoba fizyczna
2020-12-17,Gdańsk, Orunia,własność-własność,47.7,0.0,brak,2306.08,110000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2020-05-18,Gdańsk, Wrzeszcz,własność-własność,176.32,1.0,nie podano,2426.67,427869.9,"pokój:5,kuchnia:2,łazienka:1,wc:1,przedpokój:2",2.0,osoba fizyczna,osoba fizyczna
2021-01-11,Gdańsk, Orunia,własność-własność,44.03,0.0,brak,2498.3,110000.0,"pokój:2,kuchnia:1,łazienka z wc:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2020-07-06,Gdańsk, Orunia,własność-własność,64.54,0.0,nie podano,2788.97,180000.0,"pokój:3,kuchnia:1,łazienka z wc:1,przedpokój:1",100.0,osoba fizyczna,osoba fizyczna
2020-11-18,Gdańsk, VII Dwór,własność-własność,39.2,4.8,komórka lokatorska,2835.46,111150.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2021-07-19,Gdynia, Chylonia,spółdzielcze wł. prawo,44.3,4.05,"brak, PIWNICA",2934.54,130000.0,ilość izb:3,2.0,osoba fizyczna,osoba fizyczna
2020-08-06,Gdańsk, Osowa,własność-własność,185.12,54.62,"garaż, PIWNICA",2971.05,550000.0,"pokój:8,kuchnia:1,łazienka:2,przedpokój:2,klatka schodowa:1,pomieszczenie gospodarcze:1",2.0,osoba fizyczna,osoba fizyczna
2020-07-03,Gdynia, Leszczynki,własność-własność,29.099999999999998,5.3,nie podano,3178.69,92500.0,"pokój:1,kuchnia:1,wc:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2020-10-05,Gdańsk, Jelitkowo,własność-własność,84.0,5.44,komórka lokatorska,3214.29,270000.0,"pokój:2,pokój z aneksem kuchennym:1,łazienka:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2020-07-07,Gdynia, Śródmieście z Portem,własność-własność,114.9,0.0,brak,3223.41,370370.37,"pokój:3,pokój z aneksem kuchennym:1,łazienka:2,przedpokój:4,garderoba:2,ilość izb:4",5.0,deweloper,osoba fizyczna
2021-07-01,Gdynia, Wielki Kack,własność-własność,76.64,8.52,piwnica,3223.97,247084.95,"pokój:3,kuchnia:1,łazienka:1,wc:1,przedpokój:1",4.0,osoba fizyczna,osoba fizyczna
2020-05-15,Gdańsk, Wrzeszcz,własność-własność,61.8,0.0,nie podano,3236.31,200004.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2020-07-18,Gdańsk, Osowa,własność-własność,62.34,5.45,"komórka lokatorska, PIWNICA",3267.66,203705.7,"pokój:2,pokój z aneksem kuchennym:1,łazienka z wc:1,przedpokój:1",2.0,deweloper,osoba fizyczna
2020-05-28,Gdynia, Działki Leśne,własność-własność,56.05,0.1,brak,3300.62,185000.0,"pokój:3,kuchnia:1,łazienka:1,przedpokój:1",0.1,osoba fizyczna,osoba fizyczna
2021-01-21,Gdynia, Cisowa,własność-własność,118.53999999999999,50.65,"KOMÓRKA LOKATORSKA, piwnica",3374.39,400000.0,"pokój:4,kuchnia:1,łazienka:1,wc:1,przedpokój:1,garderoba:1,korytarz:1,klatka schodowa:1",1.0,osoba fizyczna,osoba fizyczna
2020-09-03,Gdańsk, Piecki Migowo,własność-własność,73.8,10.62,piwnica,3387.53,250000.0,"pokój:4,kuchnia:1,łazienka:1,wc:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2021-01-12,Gdańsk, Orunia,własność-własność,38.0,3.1,piwnica,3421.05,130000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",3.0,osoba fizyczna,osoba fizyczna
2021-07-19,Gdańsk, Wrzeszcz,własność-własność,66.5,0.1,"komórka lokatorska, PIWNICA",3458.65,230000.0,"pokój:2,kuchnia:1,łazienka:1,wc:1,przedpokój:1,garderoba:1,pomieszczenie gospodarcze:2",1.0,osoba fizyczna,osoba fizyczna
2020-09-14,Gdańsk, Sobieszewo,własność-własność,242.7,34.9,komórka lokatorska,3461.06,840000.0,"pokój:12,kuchnia:2,łazienka:2,wc:1,przedpokój:2,spiżarka:1,klatka schodowa:2,weranda:2",1.0,osoba fizyczna,osoba fizyczna
2020-05-06,Gdańsk, Kokoszki,własność-własność,76.3,0.0,brak,3473.13,265000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2020-05-04,Gdańsk, Łostowice,własność-własność,53.26,3.31,komórka lokatorska,3473.53,185000.0,"pokój:1,kuchnia:1,łazienka:1,przedpokój:1",3.0,osoba fizyczna,"przeds., spółka, firma"
2020-06-17,Gdynia, Karwiny,własność-własność,62.29,4.93,piwnica,3531.87,220000.0,"pokój:3,kuchnia:1,łazienka:1,wc:1,przedpokój:1",2.0,osoba fizyczna,spółka prawa handlowego
2020-08-18,Gdańsk, Przeróbka,własność-własność,43.19,0.0,brak,3561.83,153835.5,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",6.0,osoba fizyczna,osoba fizyczna
2021-01-21,Gdynia, Pogórze,własność-własność,60.0,3.2,piwnica,3583.33,215000.0,"pokój:3,kuchnia:1,łazienka:1,wc:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2021-02-26,Gdynia, Śródmieście z Portem,własność-własność,48.66,0.0,nie podano,3586.11,174500.0,ilość izb:3,3.0,osoba fizyczna,osoba fizyczna
2020-05-20,Gdańsk, Wrzeszcz,własność-własność,41.77,0.0,brak,3591.09,150000.0,"pokój:1,pokój z aneksem kuchennym:1,łazienka:1,przedpokój:1",4.0,deweloper,osoba fizyczna
2020-07-23,Gdańsk, Siedlce,własność-własność,83.26,0.0,brak,3603.17,300000.0,"pokój:3,kuchnia:1,łazienka:1,wc:1,przedpokój:1,antresola:1",3.0,osoba fizyczna,osoba fizyczna
2021-02-10,Gdańsk, Chełm,własność-własność,34.6,0.0,piwnica,3612.72,125000.0,"pokój:1,kuchnia:1,łazienka z wc:1,przedpokój:1",9.0,osoba fizyczna,osoba fizyczna
2020-11-17,Gdańsk, Osowa,własność-własność,63.61,1.23,piwnica,3639.09,231482.48,"pokój:2,pokój z aneksem kuchennym:1,łazienka z wc:1,przedpokój:1",4.0,deweloper,osoba fizyczna
2020-10-05,Gdańsk, Łostowice,własność-własność,148.39,3.85,komórka lokatorska,3642.36,540490.0,"pokój:4,pokój z aneksem kuchennym:1,łazienka:2,przedpokój:1",2.0,osoba fizyczna przedsiębiorca,osoba fizyczna
2020-12-15,Gdańsk, Osowa,własność-własność,67.1,30.0,piwnica,3725.78,250000.0,"pokój:3,kuchnia:1,łazienka:1,przedpokój:1,klatka schodowa:1",1.0,osoba fizyczna,osoba fizyczna
2020-05-20,Gdańsk, Wrzeszcz,własność-własność,45.55,0.0,brak,3732.16,170000.0,"pokój:1,pokój z aneksem kuchennym:1,łazienka:1,przedpokój:1",4.0,deweloper,osoba fizyczna
2020-11-26,Gdańsk, Wyspa Sobieszewska,własność-własność,70.88,14.28,piwnica,3809.26,270000.0,"pokój:3,kuchnia:1,łazienka:1,wc:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2020-11-02,Gdynia, Chylonia,własność-własność,42.99,0.0,brak,3838.1,165000.0,ilość izb:3,1.0,osoba fizyczna,osoba fizyczna
2021-02-26,Gdynia, Dąbrowa,udział ze wskazaniem na lokal,51.6,5.99,piwnica,3875.97,200000.0,"pokój:1,kuchnia:1,łazienka:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2021-06-11,Gdynia, Chylonia,własność-własność,27.05,0.0,brak,3881.7,105000.0,ilość izb:3,5.0,osoba fizyczna,osoba fizyczna
2020-09-24,Gdynia, Wzgórze Św. Maksymiliana,własność-własność,28.0,0.1,nie podano,3892.86,109000.0,ilość izb:2,6.0,osoba fizyczna,osoba fizyczna
2020-10-23,Gdańsk, Wrzeszcz,własność-własność,115.43,35.08,piwnica,3898.47,450000.0,ilość izb:4,1.0,osoba fizyczna,osoba fizyczna
2021-01-15,Gdynia, Redłowo,własność-własność,104.81,0.0,brak,3911.84,410000.0,"pokój:4,kuchnia:2,łazienka:1,wc:1,przedpokój:1,weranda:1",1.0,osoba fizyczna,osoba fizyczna
2021-01-27,Gdynia, Witomino Leśniczówka,własność-własność,53.4,15.9,piwnica,3932.58,210000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",3.0,osoba fizyczna,"przeds., spółka, firma"
2020-06-18,Gdynia, Chylonia,własność-własność,38.0,1.84,piwnica,3947.37,150000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",9.0,osoba fizyczna,osoba fizyczna
2020-08-10,Gdynia, Wielki Kack,własność-własność,93.35,45.82,"GARAŻ, komórka lokatorska",3967.55,370370.37,"pokój:3,pokój z aneksem kuchennym:1,łazienka:1,wc:1,wiatrołap:1",1.0,osoba fizyczna,osoba fizyczna
2021-02-25,Gdańsk, Ujeścisko,własność-własność,45.5,0.0,piwnica,4000.0,182000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna przedsiębiorca
2021-04-13,Gdynia, Chylonia,własność-własność,44.8,3.03,piwnica,4017.86,180000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2020-11-25,Gdańsk, Orunia,spółdzielcze wł. prawo,26.0,0.0,nie podano,4038.46,105000.0,pokój:1,4.0,osoba fizyczna,osoba fizyczna
2020-07-01,Gdańsk, Szadółki,własność-własność,130.44,8.81,komórka lokatorska,4040.17,527000.0,"pokój:3,pokój z aneksem kuchennym:1,łazienka z wc:2,korytarz:1",1.0,deweloper,osoba fizyczna
2020-08-18,Gdynia, Chwarzno - Wiczlino,własność-własność,80.07,2.52,komórka lokatorska,4047.38,324074.07,"pokój z aneksem kuchennym:1,łazienka:1,przedpokój:1,garderoba:1,antresola:1",2.0,deweloper,osoba fizyczna
2020-10-09,Gdynia, Chylonia,własność-własność,44.300000000000004,3.69,piwnica,4063.21,180000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1,pomieszczenie gospodarcze:1",1.0,osoba fizyczna,osoba fizyczna
2020-10-08,Gdynia, Oksywie,własność-własność,63.7,4.0,piwnica,4065.93,259000.0,ilość izb:3,2.0,osoba fizyczna,osoba fizyczna
2021-05-11,Gdańsk, Żabianka,własność-własność,78.3,2.7,komórka lokatorska,4086.85,320000.0,"pokój:3,kuchnia:1,łazienka z wc:1,wc:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2021-03-15,Gdańsk, Stogi,własność-własność,36.7,0.0,brak,4087.19,150000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",4.0,osoba fizyczna,osoba fizyczna
2021-03-15,Gdańsk, Stogi,własność-własność,36.7,0.0,nie podano,4087.19,150000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",4.0,osoba fizyczna,osoba fizyczna
2020-10-09,Gdańsk, Długie Ogrody,własność-własność,94.48,0.0,brak,4104.15,387759.71,"pokój:3,pokój z aneksem kuchennym:1,łazienka z wc:2,przedpokój:1",2.0,deweloper,spółka prawa handlowego
2020-12-16,Gdańsk, Klukowo,własność-własność,134.25,27.3,"GARAŻ, komórka lokatorska",4114.35,552351.85,"pokój:4,pokój z aneksem kuchennym:1,łazienka:1,wc:1,przedpokój:1,wiatrołap:1,klatka schodowa:1",1.0,deweloper,osoba fizyczna
2020-07-09,Gdynia, Grabówek,własność-własność,24.3,2.3,piwnica,4115.23,100000.0,ilość izb:1,1.0,osoba fizyczna,osoba fizyczna
2021-04-13,Gdańsk, Chełm,własność-własność,48.6,0.0,brak,4115.23,200000.0,"pokój:3,kuchnia:1,łazienka:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2020-05-08,Gdańsk, Zabornia,własność-własność,80.0,999.0,piwnica,4125.0,330000.0,"pokój:2,kuchnia:1,łazienka z wc:1,przedpokój:1,klatka schodowa:1,weranda:1",1.0,osoba fizyczna,osoba fizyczna
2020-07-07,Gdynia, Dąbrowa,własność-własność,90.9,15.8,garaż,4125.41,375000.0,"pokój:3,kuchnia:1,łazienka:1,wc:1,przedpokój:1,garderoba:1,pomieszczenie gospodarcze:1",2.0,osoba fizyczna,"przeds., spółka, firma"
2020-09-07,Gdańsk, Strzyża,własność-własność,87.18,0.0,nie podano,4129.39,360000.0,"pokój:3,kuchnia:2,łazienka:2,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2020-11-19,Gdynia, Witomino Radiostacja,własność-własność,29.04,0.1,piwnica,4132.23,120000.0,"pokój:1,kuchnia:1,łazienka:1,przedpokój:1",5.0,osoba fizyczna,osoba fizyczna
2021-01-19,Gdańsk, Olszynka,własność-własność,21.78,0.0,brak,4132.23,90000.0,"pokój:1,kuchnia:1,łazienka z wc:1,przedpokój:1",3.0,osoba fizyczna,osoba fizyczna
2020-07-31,Gdynia, Oksywie,własność-własność,29.01,0.0,brak,4136.5,120000.0,ilość izb:2,1.0,osoba fizyczna,osoba fizyczna przedsiębiorca
2021-03-16,Gdynia, Redłowo,spółdzielcze wł. prawo,55.51,0.0,brak,4143.4,230000.0,"pokój:2,kuchnia:1",3.0,osoba fizyczna,osoba fizyczna
2020-06-18,Gdańsk, Zaspa Rozstaje,własność-własność,48.2,0.0,brak,4149.38,200000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2021-05-17,Gdynia, Obłuże,własność-własność,48.13,12.0,piwnica,4155.41,200000.0,"pokój:2,kuchnia:1,łazienka z wc:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2020-06-27,Gdynia, Oksywie,własność-własność,24.02,0.0,brak,4163.2,100000.0,"pokój:1,kuchnia:1,przedpokój:1",3.0,osoba fizyczna,osoba fizyczna
2021-05-04,Gdynia, Obłuże,własność-własność,100.49,0.0,brak,4179.52,420000.0,ilość izb:7,2.0,osoba fizyczna,osoba fizyczna
2020-07-22,Gdynia, Wielki Kack,własność-własność,92.21000000000001,42.5,"GARAŻ, komórka lokatorska",4197.34,387037.04,"pokój:3,pokój z aneksem kuchennym:1,łazienka:1,wc:1,wiatrołap:1",1.0,osoba fizyczna przedsiębiorca,osoba fizyczna
2020-06-17,Gdynia, Wielki Kack,własność-własność,59.81,0.0,brak,4199.13,251150.0,"pokój:2,pokój z aneksem kuchennym:1,łazienka:1,przedpokój:1",1.0,deweloper,osoba fizyczna
2020-09-11,Gdańsk, Wrzeszcz,własność-własność,44.0,0.0,brak,4204.55,185000.0,"pokój:2,kuchnia:1,łazienka z wc:1,przedpokój:1",3.0,osoba fizyczna,osoba fizyczna
2020-09-11,Gdańsk, Wrzeszcz,własność-własność,44.0,1.0,nie podano,4204.55,185000.0,"pokój:2,kuchnia:1,łazienka z wc:1,przedpokój:1",3.0,osoba fizyczna,osoba fizyczna
2021-07-14,Gdynia, Pogórze,własność-własność,63.8,3.2,piwnica,4231.97,270000.0,"pokój:3,kuchnia:1,łazienka:1,wc:1,przedpokój:1",11.0,osoba fizyczna,osoba fizyczna
2020-05-12,Gdynia, Chylonia,własność-własność,37.8,1.89,piwnica,4232.8,160000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2021-05-10,Sopot, Sopot,własność-własność,95.21,30.1,piwnica,4306.27,410000.0,"pokój:4,kuchnia:2,wc:2,przedpokój:1,spiżarka:1",3.0,osoba fizyczna,osoba fizyczna
2020-09-12,Gdańsk, Aniołki,własność-własność,64.9,0.0,nie podano,4314.33,280000.0,"pokój:3,kuchnia:1,łazienka:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2020-12-17,Gdynia, Witomino Leśniczówka,własność-własność,48.62,0.0,nie podano,4319.21,210000.0,"wc:1,przedpokój:1,ilość izb:1",1.0,osoba fizyczna,"przeds., spółka, firma"
2020-07-01,Gdańsk, Wrzeszcz,własność-własność,104.18,0.0,nie podano,4319.45,450000.0,"pokój:3,kuchnia:1,łazienka:1,przedpokój:1,spiżarka:1",4.0,osoba fizyczna,osoba fizyczna
2020-11-05,Gdańsk, Bysewo,własność-własność,46.3,0.0,brak,4319.65,200000.0,"pokój:2,kuchnia:1,łazienka:1,korytarz:1",2.0,osoba fizyczna,osoba fizyczna
2020-12-11,Gdańsk, Klukowo,własność-własność,134.25,27.3,"GARAŻ, komórka lokatorska",4321.26,580129.63,"pokój:4,pokój z aneksem kuchennym:1,łazienka:1,wc:1,przedpokój:1,wiatrołap:1,klatka schodowa:1",1.0,deweloper,osoba fizyczna
2020-12-04,Gdynia, Śródmieście z Portem,własność-własność,46.18,2.02,piwnica,4330.88,200000.0,ilość izb:3,2.0,osoba fizyczna,osoba fizyczna
2021-01-20,Gdańsk, Chełm,własność-własność,34.6,0.0,piwnica,4335.26,150000.0,"pokój:1,kuchnia:1,łazienka:1,przedpokój:1",5.0,osoba fizyczna,osoba fizyczna
2020-11-09,Gdynia, Karwiny,własność-własność,36.82,0.1,piwnica,4345.46,160000.0,"pokój:1,kuchnia:1,łazienka:1,przedpokój:1",5.0,osoba fizyczna,osoba fizyczna
2020-09-30,Gdańsk, Stare Przedmieście,własność-własność,60.9,0.0,brak,4351.4,265000.0,"pokój:2,kuchnia:1,wc:1,przedpokój:1",3.0,osoba fizyczna,osoba fizyczna
2020-09-18,Gdańsk, Chełm,własność-własność,48.15,0.0,brak,4361.37,210000.0,"pokój:3,kuchnia:1,łazienka z wc:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2020-10-14,Gdynia, Działki Leśne,własność-własność,69.79,7.39,piwnica,4370.25,305000.0,"pokój:3,kuchnia:1,łazienka:1,przedpokój:1",6.0,osoba fizyczna,osoba fizyczna
2021-08-02,Gdańsk, Orunia,własność-własność,35.43,0.0,brak,4374.82,155000.0,"pokój:2,kuchnia:1,łazienka z wc:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2020-06-18,Gdynia, Grabówek,własność-własność,30.4,0.0,brak,4375.0,133000.0,"pokój:1,kuchnia:1,łazienka z wc:1,przedpokój:1",5.0,osoba fizyczna,osoba fizyczna
2020-11-25,Gdynia, Oksywie,spółdzielcze wł. prawo,37.66,0.0,brak,4381.31,165000.0,"pokój:1,kuchnia:1",10.0,osoba fizyczna,osoba fizyczna
2021-07-07,Gdynia, Grabówek,własność-własność,45.6,0.0,brak,4385.96,200000.0,"pokój:2,kuchnia:1,wc:1,przedpokój:1",5.0,osoba fizyczna,osoba fizyczna
2020-08-26,Gdańsk, Maćkowy,własność-własność,26.19,2.85,"KOMÓRKA LOKATORSKA, miejsce postojowe",4390.99,115000.0,"pokój z aneksem kuchennym:1,łazienka z wc:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2020-10-23,Gdańsk, Brętowo,własność-własność,50.0,4.48,piwnica,4400.0,220000.0,"pokój:2,kuchnia:1,łazienka z wc:1,przedpokój:1",4.0,osoba fizyczna,osoba fizyczna
2020-11-25,Gdańsk, Rudniki,własność-własność,27.6,0.0,brak,4402.17,121500.0,"pokój:1,kuchnia:1,łazienka:1,wc:1,przedpokój:1",2.0,spółka prawa handlowego,osoba fizyczna
2021-01-22,Gdańsk, Orunia,własność-własność,29.5,0.0,brak,4406.78,130000.0,"pokój:1,kuchnia:1,wc:1",2.0,osoba fizyczna,osoba fizyczna
2021-01-14,Gdańsk, Osowa,własność-własność,58.96,38.44,komórka lokatorska,4409.77,260000.0,"pokój:1,kuchnia:1,przedpokój:1,garderoba:1,wiatrołap:2,klatka schodowa:1",1.0,osoba fizyczna,osoba fizyczna
2020-09-25,Gdynia, Wielki Kack,własność-własność,74.6,0.0,brak,4423.59,330000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2020-10-19,Gdynia, Oksywie,własność-własność,54.33,4.64,piwnica,4431.75,240777.0,ilość izb:3,1.0,osoba fizyczna,osoba fizyczna
2021-08-27,Gdynia, Cisowa,własność-własność,62.89999999999999,10.45,piwnica,4451.51,280000.0,"pokój:3,kuchnia:1,łazienka:1,wc:1,korytarz:1",3.0,osoba fizyczna,osoba fizyczna przedsiębiorca
2020-12-11,Gdańsk, Orunia,własność-własność,76.98,0.0,brak,4455.7,343000.0,"pokój:3,kuchnia:1,łazienka:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2020-09-10,Gdynia, Mały Kack,własność-własność,69.55,24.459999999999997,"GARAŻ, piwnica",4457.23,310000.0,"pokój:3,kuchnia:1,łazienka:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2020-08-07,Gdynia, Śródmieście z Portem,własność-własność,36.1,2.8,piwnica,4487.53,162000.0,ilość izb:2,5.0,osoba fizyczna,osoba fizyczna
2020-05-11,Gdańsk, Orunia,własność-własność,60.15,1.0,nie podano,4488.78,270000.0,"pokój:2,kuchnia:1,łazienka z wc:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2020-06-19,Gdańsk, Przeróbka,własność-własność,55.6,0.0,brak,4496.4,250000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2020-12-23,Gdynia, Chwarzno - Wiczlino,własność-własność,88.32,41.12,"GARAŻ, piwnica",4497.53,397222.22,"pokój:3,kuchnia:4,łazienka:1,wc:1,korytarz:1,wiatrołap:1,klatka schodowa:1,pomieszczenie gospodarcze:1,garaż:1",0.0,deweloper,osoba fizyczna
2020-10-23,Gdynia, Mały Kack,własność-własność,50.4,0.0,brak,4503.97,227000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2020-06-01,Gdańsk, Wrzeszcz,własność-własność,53.0,1.0,nie podano,4528.3,240000.0,"pokój:2,kuchnia:1,łazienka z wc:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2020-12-22,Gdańsk, Przeróbka,własność-własność,41.93,3.33,piwnica,4531.36,190000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",5.0,osoba fizyczna,osoba fizyczna
2020-06-26,Gdynia, Grabówek,własność-własność,55.07,49.97,piwnica,4539.68,250000.0,ilość izb:3,1.0,osoba fizyczna,osoba fizyczna
2020-08-27,Gdańsk, Długie Ogrody,własność-własność,54.74,0.0,brak,4567.04,250000.0,"pokój:2,kuchnia:1,łazienka z wc:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2020-05-05,Gdańsk, Ujeścisko,własność-własność,85.25,1.9,piwnica,4574.78,390000.0,"pokój:2,pokój z aneksem kuchennym:1,łazienka z wc:1,wc:1,przedpokój:2,garderoba:1",4.0,osoba fizyczna,osoba fizyczna
2021-02-22,Gdańsk, Wrzeszcz,własność-własność,92.7,0.1,komórka lokatorska,4584.68,425000.0,"pokój:2,kuchnia:1,łazienka z wc:1,przedpokój:1,pomieszczenie gospodarcze:1",1.0,osoba fizyczna,osoba fizyczna
2021-03-17,Gdynia, Wielki Kack,własność-własność,80.75,0.0,brak,4586.63,370370.37,ilość izb:1,3.0,deweloper,osoba fizyczna
2020-05-07,Gdańsk, Nowy Port,własność-własność,77.30000000000001,12.1,piwnica,4592.5,355000.0,"pokój:4,kuchnia:1,łazienka z wc:1,przedpokój:1,korytarz:1",1.0,osoba fizyczna,osoba fizyczna
2021-04-07,Gdańsk, Wrzeszcz,własność-własność,86.89,0.0,brak,4603.52,400000.0,"pokój:3,kuchnia:1,łazienka:1,przedpokój:1,spiżarka:1",2.0,osoba fizyczna,osoba fizyczna
2020-07-09,Gdańsk, Oliwa,spółdzielcze wł. prawo,30.4,1.0,brak,4605.26,140000.0,"pokój:1,kuchnia:1,łazienka z wc:1",5.0,osoba fizyczna,osoba fizyczna
2021-03-29,Gdynia, Wielki Kack,własność-własność,57.85,0.0,brak,4608.07,266576.85,ilość izb:1,3.0,deweloper,osoba fizyczna
